"","disk_position","sources","Record_1_Nb_peaks","Record_1_Peak_intensity_max_peak_1","Record_1_Frequency_factor_peak_1","Record_1_Peak_intensity_integrated_peak_1","Record_1_Peak_intensity_integrated_relative_peak_1","Record_1_Peak_temperature_peak_1","Record_1_Peak_intensity_peak_1","Record_1_Nb_components","Record_1_Cross_section_component_1","Record_1_Cross_section_component_2","Record_1_Cross_section_relative_component_1","Record_1_Cross_section_relative_component_2","Record_1_Intensity_component_1","Record_1_Intensity_component_2","Record_1_Sensitivity_component_1","Record_1_Sensitivity_component_2","Record_2_Nb_components","Record_2_Cross_section_component_1","Record_2_Cross_section_component_2","Record_2_Cross_section_component_3","Record_2_Cross_section_relative_component_1","Record_2_Cross_section_relative_component_2","Record_2_Cross_section_relative_component_3","Record_2_Intensity_component_1","Record_2_Intensity_component_2","Record_2_Intensity_component_3","Record_2_Sensitivity_component_1","Record_2_Sensitivity_component_2","Record_2_Sensitivity_component_3","Record_3_Nb_peaks","Record_3_Peak_intensity_max_peak_1","Record_3_Peak_intensity_max_peak_2","Record_3_Peak_intensity_integrated_peak_1","Record_3_Peak_intensity_integrated_peak_2","Record_3_Peak_intensity_integrated_relative_peak_1","Record_3_Peak_intensity_integrated_relative_peak_2","Record_3_Peak_temperature_peak_1","Record_3_Peak_temperature_peak_2","Record_3_Peak_intensity_peak_1","Record_3_Peak_intensity_peak_2","Record_4_Nb_peaks","Record_4_Peak_intensity_max_peak_1","Record_4_Peak_intensity_max_peak_2","Record_4_Peak_intensity_max_peak_3","Record_4_Peak_intensity_max_peak_4","Record_4_Peak_intensity_max_peak_5","Record_4_Peak_intensity_integrated_peak_1","Record_4_Peak_intensity_integrated_peak_2","Record_4_Peak_intensity_integrated_peak_3","Record_4_Peak_intensity_integrated_peak_4","Record_4_Peak_intensity_integrated_peak_5","Record_4_Peak_intensity_integrated_relative_peak_1","Record_4_Peak_intensity_integrated_relative_peak_2","Record_4_Peak_intensity_integrated_relative_peak_3","Record_4_Peak_intensity_integrated_relative_peak_4","Record_4_Peak_intensity_integrated_relative_peak_5","Record_4_Peak_temperature_peak_1","Record_4_Peak_temperature_peak_2","Record_4_Peak_temperature_peak_3","Record_4_Peak_temperature_peak_4","Record_4_Peak_temperature_peak_5","Record_4_Peak_intensity_peak_1","Record_4_Peak_intensity_peak_2","Record_4_Peak_intensity_peak_3","Record_4_Peak_intensity_peak_4","Record_4_Peak_intensity_peak_5","Record_1_Cross_section_component_3","Record_1_Cross_section_relative_component_3","Record_1_Intensity_component_3","Record_1_Sensitivity_component_3","Record_4_Peak_intensity_max_peak_6","Record_4_Peak_intensity_integrated_peak_6","Record_4_Peak_intensity_integrated_relative_peak_6","Record_4_Peak_temperature_peak_6","Record_4_Peak_intensity_peak_6","Record_1_Peak_intensity_max_peak_2","Record_1_Frequency_factor_peak_2","Record_1_Peak_intensity_integrated_peak_2","Record_1_Peak_intensity_integrated_relative_peak_2","Record_1_Peak_temperature_peak_2","Record_1_Peak_intensity_peak_2","Record_2_Nb_peaks","Record_2_Peak_intensity_max_peak_1","Record_2_Peak_intensity_integrated_peak_1","Record_2_Peak_intensity_integrated_relative_peak_1","Record_2_Peak_temperature_peak_1","Record_2_Peak_intensity_peak_1","Record_5_Nb_peaks","Record_5_Peak_intensity_max_peak_1","Record_5_Peak_intensity_integrated_peak_1","Record_5_Peak_intensity_integrated_relative_peak_1","Record_5_Peak_temperature_peak_1","Record_5_Peak_intensity_peak_1","Record_3_Peak_intensity_max_peak_3","Record_3_Peak_intensity_integrated_peak_3","Record_3_Peak_intensity_integrated_relative_peak_3","Record_3_Peak_temperature_peak_3","Record_3_Peak_intensity_peak_3"
"Record_1...1",1,"Mixed",1,1062.96291838667,454975.14724478,127846.175734697,1,564.15,1090.6026053743,2,3.53220078234313e-17,3.61529673838222e-19,1,0.0102,1392.26497275547,13279.7936616502,27.8452994551095,265.595873233004,3,6.34102525311092e-17,1.14306178669379e-17,6.34560751765869e-20,1,0.1803,0.001,3319.17876427275,689.718141746134,150968.893542594,66.383575285455,13.7943628349227,3019.37787085188,2,107.356734310272,157.698681669852,3796.78834900054,25681.7663478816,1,6.76407636855554,521.15,574.15,212.969911354775,169.776450924465,5,924.62336209882,59338.1008675101,627.34515127521,163.222931408776,260.902848140293,19906.5040631378,1674182.25976402,49968.897213894,5334.26167859701,47270.0200864866,1,84.1022740333505,2.51017943961466,0.267965769462998,2.37460178525368,287.15,347.15,385.15,456.15,518.15,990.445119190885,59390.2355111835,535.906308824728,346.707654021696,347.000449150434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...2",2,"Mixed",1,491.725688506537,103814646.658072,42212.4653134258,1,559.15,538.704798708854,3,7.2175348986739e-17,9.21468782104012e-18,1,0.1277,288.135130177714,116.514260171738,5.76270260355428,2.33028520343477,3,7.21480037167628e-17,9.65967450051126e-18,7.84403669052041e-20,1,0.1339,0.0011,3000.55210975094,566.623233760554,96790.3407416757,60.0110421950187,11.3324646752111,1935.80681483351,2,85.1661569074072,47.2601070104586,8125.07111446895,9733.82152800963,1,1.19799831790713,519.15,675.15,165.758849889219,28.1146833071285,6,781.920484871963,48849.6349811249,515.338166824514,166.754113941515,116.732477724466,17131.5268964214,1373255.5997282,41921.8707237742,6711.51689808114,5573.53785395367,1,80.1595565900817,2.44705979666828,0.391764081430658,0.325338067508619,288.15,347.15,393.15,444.15,520.15,854.810749130449,48869.7713288967,494.362347320479,209.29728745351,226.764955317886,1.54380291100151e-19,0.0021,4130.44932998507,82.6089865997015,124.069287527685,19998.9906819903,1.16737934703111,650.15,43.5274763272409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...3",3,"Mixed",1,539.841213416266,8086721.54907282,55615.243488815,1,534.15,530.657814905033,3,7.39563206057372e-17,3.43160881536568e-17,1,0.464,9202.51628308422,3762.5216460247,184.050325661684,75.250432920494,2,6.70977568113336e-17,1.09816194751138e-19,0,1,0.0016,0,14452.7660499033,80905.0828746669,0,289.055320998066,1618.10165749334,0,2,43.279058332433,137.100917882517,1983.61680484454,17046.1660446599,1,8.59347733041407,281.15,518.15,29.2631812767664,197.349331612181,5,1012.48228524606,63981.0921241327,830.990388494124,243.784587036769,64.2955614083911,21150.1825013385,1799218.26446739,81115.1602245684,30619.4987814332,6065.60475220582,1,85.0686874382067,3.83519906835012,1.44771794661798,0.286787348138578,288.15,347.15,385.15,520.15,633.15,1131.81380449088,64215.1441364519,632.368370134192,314.910171842611,94.3307757775074,2.62142507146709e-19,0.0035,10598.0210116417,211.960420232835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...4",4,"Mixed",1,730.854624153572,2432873.31984439,80502.1380627991,1,566.15,778.447264580164,3,6.06509097318769e-17,9.38015652102069e-18,1,0.1547,2450.74038524187,654.038939502604,49.0148077048374,13.0807787900521,3,7.28349048768663e-17,2.79529998392994e-17,6.4331241261521e-20,1,0.3838,9e-04,9170.71097115291,2222.21333897768,156964.604730189,183.414219423058,44.4442667795535,3139.29209460378,2,18.8031735468439,154.264946267885,1714.81738450735,24871.2558244704,1,14.5037343621377,289.15,523.15,20.365375347014,213.873899337168,5,1141.62369420394,65717.6020998305,870.51888482198,713.691209928366,253.115664200142,28486.1344422419,1888124.76442777,46914.1761493015,29852.0124124183,43866.3312591811,1,66.282238759215,1.64691268464046,1.04794887045646,1.53991870494482,286.15,349.15,394.15,462.15,523.15,1189.31132662971,65427.8939729128,882.933688799427,887.261381149853,298.086953848138,1.74909480822811e-19,0.0029,15295.7754324725,305.91550864945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...5",5,"Mixed",1,904.964687356564,58199390.6693191,86939.0794283186,1,556.15,976.787077078354,1,3.96472463971031e-19,0,1,0,3935.75165291066,0,78.7150330582133,0,3,7.61725467184908e-17,6.96143180428138e-18,7.18818820407758e-20,1,0.0914,9e-04,1837.58500626375,497.607528934253,126151.217099671,36.7517001252751,9.95215057868506,2523.02434199342,2,80.0739937567887,142.059889544112,2768.79332799072,22481.4445363122,1,8.11958202479011,523.15,570.15,180.376535361989,160.079482219679,5,892.20481279158,54009.4937648828,560.950395339497,148.29156095814,216.880105939585,19867.0214335711,1517745.53521631,37280.6436182053,6543.32486813167,36411.3422507999,1,76.3952231234644,1.87650895444291,0.32935610856466,1.83275295557252,286.15,347.15,383.15,453.15,519.15,966.784388718221,53804.6782724825,500.807789968231,233.276820398775,259.349658201081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...6",6,"Mixed",1,865.83875178274,4558528.21382653,92423.8368941159,1,559.15,891.004026337275,3,4.74142181639353e-17,7.68526141027917e-18,1,0.1621,1342.49065313965,955.679631603511,26.849813062793,19.1135926320702,3,7.95112230949903e-17,2.81312312400279e-17,9.91029068859693e-20,1,0.3538,0.0012,8743.39862839814,2401.78658895287,111600.413061045,174.867972567963,48.0357317790575,2232.00826122091,1,168.348187408694,0,26070.3797930924,0,1,0,523.15,0,193.124428436519,0,5,900.980747681133,52517.9933720694,1034.96830946482,383.558242508469,192.691242824051,20491.636261216,1484668.69552365,62123.3439815814,21354.2772714261,13514.8096893897,1,72.4524228615967,3.03164389557122,1.04209722440969,0.659528088294678,287.15,347.15,392.15,443.15,522.15,970.013183421565,52385.9227095827,1028.36228939123,381.490001333956,311.032353881002,1.86349364482584e-19,0.0039,9170.8410086069,183.416820172138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...7",7,"Mixed",1,718.597211934956,3459613.01129085,78468.3676974863,1,568.15,745.691643020765,3,5.51764975629782e-17,6.91775160378242e-18,1,0.1254,1973.81433411182,914.365635511425,39.4762866822364,18.2873127102285,3,6.5585553089911e-17,2.23699909921272e-17,1.14824776855508e-19,1,0.3411,0.0018,17356.8106850846,4203.18965758338,73493.8041960962,347.136213701693,84.0637931516675,1469.87608392192,2,75.0124050686594,122.722240248242,2379.79851266268,20970.8062679778,1,8.81200914967977,523.15,577.15,170.553257258923,143.244941833006,5,1132.53082074549,64812.138507205,936.070213348302,1024.95751929803,267.835449687502,30520.2678038893,1860653.34777015,52661.035705268,44685.4746635166,38270.6223846185,1,60.9645157678807,1.72544474523114,1.46412459257065,1.25394123768932,288.15,348.15,393.15,456.15,526.15,1215.77846819979,64606.0618210822,930.587035776941,1067.91221792786,270.267162759537,3.06221234381636e-19,0.0055,6275.61208804387,125.512241760877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...8",8,"Mixed",1,1020.28292743558,32738902.374652,100830.547534676,1,562.15,1092.34358853971,3,5.55751971235987e-17,8.86310294247317e-18,1,0.1595,4915.6472059647,961.860703964609,98.3129441192939,19.2372140792922,3,7.1564280927701e-17,2.38905592661842e-17,9.27093239058602e-20,1,0.3338,0.0013,17680.5891244704,3343.42994861134,134141.397588609,353.611782489407,66.8685989722268,2682.82795177218,2,121.238951246873,194.960542826755,4323.58117245527,29034.4972820243,1,6.715381560776,527.15,574.15,252.494895890577,206.938675210084,6,2062.01140804653,114174.614422479,1496.99513238803,399.454463032212,334.153366419391,61982.9492290815,3272473.52018442,79613.3903370829,16449.7648380884,37056.5087712375,1,52.7963506236166,1.28444017794057,0.26539177374881,0.597850041537732,286.15,348.15,393.15,455.15,521.15,2225.10244326263,113452.014683137,1460.57459364167,509.318176194124,387.078186803771,2.23728726220161e-19,0.004,10242.0883541481,204.841767082961,93.3632336944236,13075.1344269897,0.210947278075872,693.15,43.3430477665727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...9",9,"Mixed",2,25.0913951049724,4231.22107948942,1860.36015768261,1,288.15,24.4954481505012,3,8.30367506374567e-17,9.86274641263423e-18,1,0.1188,2684.87587455456,677.336694085021,53.6975174910912,13.5467338817004,3,8.57347492062997e-17,1.76352786947754e-17,7.54452750067194e-20,1,0.2057,9e-04,17616.3201708441,2367.96735348729,216559.940833672,352.326403416882,47.3593470697458,4331.19881667343,1,29.9087166406211,0,1674.01063316273,0,1,0,527.15,0,260.951039234722,0,5,1457.69951100781,84665.18731305,1721.74232284695,386.620685499671,333.611417538474,33787.4154156997,2402078.09789404,97301.1910788469,19281.5905395577,51434.9128449514,1,71.0938693694187,2.87980568746418,0.570673734653236,1.52230977753485,289.15,348.15,392.15,454.15,521.15,1566.96273284863,84739.5955781623,1698.21777102123,499.496354050555,391.921871248934,1.94315768335934e-19,0.0023,13181.7990455104,263.635980910209,0,0,0,0,0,906.67093475932,16382506.7989548,82409.683629014,44.2977040164464,564.15,990.002206802545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...10",10,"Mixed",1,840.580994324635,65584619.9013576,70223.296253993,1,563.15,909.51739240841,1,2.59724263165592e-19,0,1,0,4021.40726813092,0,80.4281453626185,0,3,7.79471652282083e-17,8.85635951655973e-18,6.2344810885069e-20,1,0.1136,8e-04,2422.1267070932,885.768672472031,192654.676947239,48.4425341418641,17.7153734494406,3853.09353894477,2,168.005939770689,153.42361068338,8251.93982090195,12513.773174971,1,1.51646442491909,522.15,573.15,214.663185472902,177.613658483726,5,1394.12826407667,85519.9431955341,1142.94829001467,525.969569305519,240.059622355572,34832.7393572497,2424617.80810836,65715.0165670248,22132.558427248,37598.6414764268,1,69.6074398065889,1.88658766952096,0.63539528718236,1.07940524260264,287.15,348.15,392.15,458.15,520.15,1507.08853203006,85116.3308839469,1088.25305898164,614.283085550857,293.136093552942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Record_1...11",11,"Mixed",1,1502.71890488366,4699120.87549721,161937.482833026,1,565.15,1548.93199570243,3,6.90993012972527e-17,7.62268017648617e-18,1,0.1103,2893.91257942207,522.013714319746,57.8782515884415,10.4402742863949,3,8.26865105200574e-17,2.58766701147798e-17,9.02210242920263e-20,1,0.3129,0.0011,15260.731043394,2798.05775537528,195715.917051348,305.21462086788,55.9611551075056,3914.31834102697,2,130.396006078415,213.274645645398,4272.91581498279,37704.6207664817,1,8.82409633119196,523.15,578.15,287.128482970924,238.480927975915,5,1454.47207551179,78816.6015423108,1566.85454190124,421.682763667855,349.438904103398,34470.340666821,2248822.66819836,76909.8876106611,17518.4899699149,55232.4182921811,1,65.2393514161855,2.23119023841531,0.508219229372954,1.60231715798923,288.15,348.15,391.15,453.15,518.15,1544.46766258836,78386.6975003621,1509.24359494633,589.342978580711,431.554014462378,1.96943350147622e-19,0.0029,12654.3008514955,253.086017029909,0,0,0,0,0,0,0,0,0,0,0,1,32.1974402508556,6105.79831755381,1,709.15,46.592805102319,1,16.7269356109639,1122.68462475053,1,286.15,23.1588009767754,0,0,0,0,0
"Record_1...12",12,"Mixed",1,1402.35849026175,24019180.0422096,134378.131157653,1,565.15,1485.67551397998,2,6.17491906332381e-17,2.05104907151657e-19,1,0.0033,2833.26705301425,14671.2740980915,56.6653410602849,293.425481961829,3,7.14337529342147e-17,6.56641737911161e-18,1.16160837306383e-19,1,0.0919,0.0016,11725.0488499788,6283.52456062859,149235.892675057,234.500976999575,125.670491212572,2984.71785350114,3,26.282975961118,92.188767368721,1623.29511448962,3545.14459794627,1,2.18391872574623,284.15,522.15,25.5955868360127,220.58997695367,6,1388.59894020821,79008.0268936077,1230.9511650901,757.683000370987,153.844297583642,32579.9198675431,2238754.16152675,79588.1093111918,32805.1199208784,5973.73745287585,1,68.7157663563517,2.44285773675212,1.0069122347216,0.183356419449854,289.15,347.15,391.15,453.15,518.15,1517.9917330359,78900.403717025,1205.37842710771,835.368727663144,335.516677415923,0,0,0,0,247.998112888568,41534.747330946,1.27485725869829,570.15,258.633151000891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.255575215037,30578.2824463417,18.8371677912404,576.15,192.372839814047
"Record_1...13",13,"Mixed",2,23.4565746158065,1844.8561815972,2189.25817628827,1,281.15,23.2683465226901,3,7.18432889491478e-17,1.07352716549068e-17,1,0.1494,10195.1300182277,1865.10721950693,203.902600364554,37.3021443901386,3,8.60897429349074e-17,3.1617295606645e-17,9.40981217424806e-20,1,0.3673,0.0011,33908.8305897422,7478.18274764907,270450.346663266,678.176611794843,149.563654952981,5409.00693326533,3,22.5003913493151,287.66374923928,2462.58303287536,14819.7213109975,1,6.01795801934591,284.15,524.15,20.5221954004158,374.331236806333,5,2044.65041324824,113311.499481938,3326.49164187292,1124.4819842242,489.21228724276,50148.1877492721,3245914.92662674,151564.424520564,51498.289625117,63361.6043718215,1,64.7264651487601,3.02233104171872,1.02692224657439,1.26348742029549,288.15,348.15,392.15,458.15,526.15,2176.34844763612,112846.907754289,3334.41002636548,1269.6098844338,566.015685395379,1.91238692368036e-19,0.0027,32747.8833796612,654.957667593225,0,0,0,0,0,2012.59686869471,6395253.86834601,213237.39882246,97.4016683514178,564.15,2123.79174919522,0,0,0,0,0,0,0,0,0,0,0,0,254.139991679649,26970.8940574224,10.9522780338215,581.15,286.332736178519
