"","X","sources","Record_1_Nb_peaks","Record_1_Peak_intensity_max_peak_1","Record_1_Frequency_factor_peak_1","Record_1_Peak_intensity_integrated_peak_1","Record_1_Peak_intensity_integrated_relative_peak_1","Record_1_Peak_temperature_peak_1","Record_1_Peak_intensity_peak_1","Record_1_Nb_components","Record_1_Cross_section_component_1","Record_1_Cross_section_component_2","Record_1_Cross_section_component_3","Record_1_Cross_section_relative_component_1","Record_1_Cross_section_relative_component_2","Record_1_Cross_section_relative_component_3","Record_1_Intensity_component_1","Record_1_Intensity_component_2","Record_1_Intensity_component_3","Record_1_Sensitivity_component_1","Record_1_Sensitivity_component_2","Record_1_Sensitivity_component_3","Record_2_Nb_peaks","Record_2_Peak_intensity_max_peak_1","Record_2_Peak_intensity_integrated_peak_1","Record_2_Peak_intensity_integrated_relative_peak_1","Record_2_Peak_temperature_peak_1","Record_2_Peak_intensity_peak_1","Record_2_Nb_components","Record_2_Cross_section_component_1","Record_2_Cross_section_component_2","Record_2_Cross_section_component_3","Record_2_Cross_section_relative_component_1","Record_2_Cross_section_relative_component_2","Record_2_Cross_section_relative_component_3","Record_2_Intensity_component_1","Record_2_Intensity_component_2","Record_2_Intensity_component_3","Record_2_Sensitivity_component_1","Record_2_Sensitivity_component_2","Record_2_Sensitivity_component_3","Record_3_Nb_peaks","Record_3_Peak_intensity_max_peak_1","Record_3_Peak_intensity_max_peak_2","Record_3_Peak_intensity_integrated_peak_1","Record_3_Peak_intensity_integrated_peak_2","Record_3_Peak_intensity_integrated_relative_peak_1","Record_3_Peak_intensity_integrated_relative_peak_2","Record_3_Peak_temperature_peak_1","Record_3_Peak_temperature_peak_2","Record_3_Peak_intensity_peak_1","Record_3_Peak_intensity_peak_2","Record_4_Nb_peaks","Record_4_Peak_intensity_max_peak_1","Record_4_Peak_intensity_max_peak_2","Record_4_Peak_intensity_max_peak_3","Record_4_Peak_intensity_max_peak_4","Record_4_Peak_intensity_max_peak_5","Record_4_Peak_intensity_max_peak_6","Record_4_Peak_intensity_integrated_peak_1","Record_4_Peak_intensity_integrated_peak_2","Record_4_Peak_intensity_integrated_peak_3","Record_4_Peak_intensity_integrated_peak_4","Record_4_Peak_intensity_integrated_peak_5","Record_4_Peak_intensity_integrated_peak_6","Record_4_Peak_intensity_integrated_relative_peak_1","Record_4_Peak_intensity_integrated_relative_peak_2","Record_4_Peak_intensity_integrated_relative_peak_3","Record_4_Peak_intensity_integrated_relative_peak_4","Record_4_Peak_intensity_integrated_relative_peak_5","Record_4_Peak_intensity_integrated_relative_peak_6","Record_4_Peak_temperature_peak_1","Record_4_Peak_temperature_peak_2","Record_4_Peak_temperature_peak_3","Record_4_Peak_temperature_peak_4","Record_4_Peak_temperature_peak_5","Record_4_Peak_temperature_peak_6","Record_4_Peak_intensity_peak_1","Record_4_Peak_intensity_peak_2","Record_4_Peak_intensity_peak_3","Record_4_Peak_intensity_peak_4","Record_4_Peak_intensity_peak_5","Record_4_Peak_intensity_peak_6","Record_3_Peak_intensity_max_peak_3","Record_3_Peak_intensity_integrated_peak_3","Record_3_Peak_intensity_integrated_relative_peak_3","Record_3_Peak_temperature_peak_3","Record_3_Peak_intensity_peak_3","Record_1_Peak_intensity_max_peak_2","Record_1_Frequency_factor_peak_2","Record_1_Peak_intensity_integrated_peak_2","Record_1_Peak_intensity_integrated_relative_peak_2","Record_1_Peak_temperature_peak_2","Record_1_Peak_intensity_peak_2","Record_5_Nb_peaks","Record_5_Peak_intensity_max_peak_1","Record_5_Peak_intensity_integrated_peak_1","Record_5_Peak_intensity_integrated_relative_peak_1","Record_5_Peak_temperature_peak_1","Record_5_Peak_intensity_peak_1","Pop_fraction"
"1","Record_1...1","S1",1,1398.52848495678,10186980.1069638,145640.184789142,1,566.15,1455.34944872808,3,5.91538970650077e-17,1.81818423308717e-17,2.15762686604191e-19,1,0.3074,0.0036,4476.48653097365,1306.96918870679,11313.5106395238,89.529730619473,26.1393837741359,226.270212790476,1,28.8650506118145,4292.46703373488,1,716.15,48.0818041985712,3,6.28511701531701e-17,2.1680678852588e-17,1.26710851092308e-19,1,0.345,0.002,22286.185268368,3889.88433728154,66247.9931554963,445.723705367361,77.7976867456308,1324.95986310993,2,89.7014714234564,186.267156382736,4749.16486344048,24087.0906036416,1,5.07185816796259,526.15,596.15,156.274474957873,199.594409439838,6,865.962230619381,51985.0374822316,1261.23934843339,420.649262463367,126.905776176341,243.125293708288,26519.9778467212,1504145.30924936,69715.9103512651,19710.1169901905,9623.80576836995,33517.992529291,1,56.7174421465561,2.62880726198964,0.743217701919286,0.362888906770327,1.26387709382778,289.15,348.15,389.15,449.15,530.15,565.15,946.565916753505,51915.8504840759,1153.19002861158,470.5367050913,280.933795630751,313.749935024319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34
"2","Record_1...2","S1",1,815.853729785549,1460111.58216366,92278.9671946606,1,565.15,827.72879037245,3,5.05764351708628e-17,5.35666837453027e-18,2.3478264126099e-19,1,0.1059,0.0046,1146.40465658676,1125.49223341386,9449.09083213596,22.9280931317352,22.5098446682771,188.981816642719,0,0,0,0,0,0,2,5.17598334195976e-17,3.99303044175938e-19,0,1,0.0077,0,10788.0217112483,25273.6485677699,0,215.760434224966,505.472971355398,0,2,72.7321711458027,126.506108995807,2495.9170023173,23054.089549782,1,9.23672122445485,519.15,594.15,158.354327617749,145.414549039791,5,634.806961693215,33448.6305494412,1535.66470287459,441.049212827288,221.296350013139,0,15552.672357483,975227.101335532,71569.2057032947,21312.501488164,43679.0675233165,0,1,62.7047930361826,4.60173043308919,1.37034337239861,2.80846059888226,0,287.15,347.15,390.15,455.15,521.15,0,701.38955482767,33610.3152439435,1492.15393754505,566.999076534386,265.763131159391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34
"3","Record_1...3","S1",1,1538.4014080347,3264768.78933795,166540.351178115,1,562.15,1581.7648571802,3,5.87405778943074e-17,7.40114326246042e-18,2.53154035918942e-19,1,0.126,0.0043,6277.3758710776,2244.76330965937,21655.6004047546,125.547517421552,44.8952661931873,433.112008095092,0,0,0,0,0,0,3,6.79229327104734e-17,2.1748992943702e-17,1.2109817517565e-19,1,0.3202,0.0018,38245.5722266437,5675.14793027947,136999.075694889,764.911444532874,113.502958605589,2739.98151389778,3,17.5774381690335,175.411406992795,1495.59950095364,9089.76962920495,1,6.07767629195451,295.15,526.15,22.2708810725837,251.617215104811,5,1622.32776927009,96299.1792081545,1681.98756938356,905.49039864709,422.406505244791,0,38371.3219276721,2764269.12001942,108434.391588932,38258.0576246368,61264.2686917777,0,1,72.0399762413689,2.82592275015506,0.99704820430089,1.59661605631564,0,287.15,348.15,393.15,459.15,525.15,0,1757.67304131073,96181.0857389395,1650.20574464793,1019.36635279346,436.504727259052,0,199.677458996474,26125.7434983741,17.4684088097886,583.15,219.438111508878,0,0,0,0,0,0,0,0,0,0,0,0,0.34
"4","Record_1...4","S1",2,1651.26513230664,41955029.4192974,162343.366233125,1,439.15,48.4095093654983,3,4.70802445993828e-17,7.36858057715878e-18,9.81968070271869e-20,1,0.1565,0.0021,4626.17130907861,1338.84485029983,67748.7270461341,92.5234261815721,26.7768970059966,1354.97454092268,0,0,0,0,0,0,3,7.70117524338136e-17,3.32827652747259e-17,1.04825840348652e-19,1,0.4322,0.0014,11701.3201466374,6330.16603769846,161357.800018326,234.026402932749,126.603320753969,3227.15600036653,2,129.814903900096,214.530692633486,6682.98077019708,26781.3687208339,1,4.00739874043422,523.15,586.15,198.005786091447,221.893492052321,6,1320.82795076098,76952.8616138697,1248.99654340563,467.745242710094,166.692216644095,264.904485081792,44367.8100805998,2194732.43080306,75599.7578391152,21311.8561451037,7145.95676614687,37738.7772161911,1,49.4667739249705,1.70393259666814,0.480345009284614,0.161061741680857,0.850589135403207,287.15,348.15,393.15,455.15,519.15,570.15,1443.39274035952,76710.7281268579,1224.20178369607,523.13998092471,316.846608467264,279.740668129782,0,0,0,0,0,48.5505097411227,3.62294544936834,11857.3170409224,0.0730385066913996,561.15,1718.57261283641,0,0,0,0,0,0,0.34
"5","Record_1...5","S1",2,1322.8059847737,9564884.20430968,130252.247085234,1,561.15,1400.08754672159,2,5.68048995195267e-17,4.4884562687757e-19,0,1,0.0079,0,5480.46179513972,11205.2418821299,0,109.609235902794,224.104837642598,0,0,0,0,0,0,0,3,7.67899005817064e-17,2.63190432945785e-17,1.07075796245374e-19,1,0.3427,0.0014,22349.3765383687,4020.8518525121,108009.107915889,446.987530767374,80.4170370502419,2160.18215831778,3,29.3469441505863,113.536466000099,6036.47207699461,5440.31423590115,1,0.901240686034902,461.15,526.15,50.3932504466534,176.622318861664,5,1027.43504845474,57085.3859697025,1451.17603151554,2973.66145793495,295.859057017622,0,22437.8399080416,1628860.80931806,75569.6583685113,117230.047714312,50425.343749387,0,1,72.5943680850616,3.36795603668727,5.22465835369015,2.24733503563838,0,288.15,347.15,393.15,457.15,521.15,0,1090.68935505112,56850.7270234233,1507.32143038691,3098.82714943879,302.317385500705,0,164.677823228863,16372.9313478925,2.71233447932126,592.15,195.135418706068,67.8848328028464,2.03329323993939,15606.2036541007,0.119815235462989,690.15,109.860221315959,0,0,0,0,0,0,0.34
"6","Record_1...6","S1",1,1049.49749091747,2989548.05313564,115076.775843073,1,562.15,1089.74617508808,2,4.82085218611481e-17,4.44611153745575e-19,0,1,0.0092,0,5157.79488108476,8185.80613083106,0,103.155897621695,163.716122616621,0,0,0,0,0,0,0,2,5.92309857426003e-17,1.79119665155668e-19,0,1,0.003,0,15910.7549584339,53793.1395547407,0,318.215099168679,1075.86279109481,0,2,87.1952218362022,117.243106225973,2969.56814323691,21556.7541745187,1,7.25922192545521,522.15,586.15,174.449052508782,131.210177250586,4,781.522440779269,44886.7254197495,343.218934787168,171.341527945583,0,0,94444.5727748365,1276692.12573424,10835.6837070074,29249.8432885785,0,0,1,13.5178982574041,0.114730612767348,0.309703802232368,0,0,348.15,389.15,460.15,524.15,0,0,45192.5877969261,664.374859413233,554.198038834348,264.858457003714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34
"7","Record_1...7","S1",1,1937.09106470087,8738075.29684079,202483.872039508,1,561.15,2020.70852173573,3,5.98144760314395e-17,1.13710663368507e-17,2.14250248665609e-19,1,0.1901,0.0036,13058.6295954573,2041.95871871284,26884.3988778067,261.172591909146,40.8391743742567,537.687977556133,0,0,0,0,0,0,3,6.68267391940729e-17,2.27368802427637e-17,1.52244742120943e-19,1,0.3402,0.0023,58920.3682582093,9195.74059772547,117073.533869486,1178.40736516419,183.914811954509,2341.47067738972,2,175.147425024512,259.230640245444,9065.5493052375,35048.6987756578,1,3.86614176323644,520.15,588.15,273.61061300945,268.942385591642,5,80055.9783801272,2783.44746712677,1897.07892811768,91.6578289492721,543.572932593285,0,2299693.0807816,138817.829394123,103452.177654486,3002.7146558767,73885.2089051565,0,1,0.0603636331100943,0.0449852106435548,0.00130570234826995,0.0321282911718136,0,347.15,392.15,449.15,524.15,561.15,0,80239.3241507458,2903.6623858631,1984.99937096869,524.670819675172,579.499705871734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34
"8","Record_1...8","S1",2,17.2092561795365,2330.64225436884,1515.84363005193,1,286.15,23.558947336178,3,6.55001201740414e-17,1.61015700170522e-17,2.05215270815765e-19,1,0.2458,0.0031,4951.0111325413,1368.11942123483,13532.8605809408,99.0202226508261,27.3623884246965,270.657211618816,0,0,0,0,0,0,3,6.88670841990314e-17,1.92706547758114e-17,1.84630471352693e-19,1,0.2798,0.0027,49987.172387373,5974.26041012678,71469.017816349,999.74344774746,119.485208202536,1429.38035632698,2,110.298531111731,209.91607476059,6486.85866969042,26659.8984635511,1,4.10983186486217,522.15,588.15,176.043104082451,221.453374139141,6,927.080612206824,52512.1606223477,1968.07592047035,1116.31664532962,239.813988871808,213.515918184338,26179.0686455161,1495345.73983398,111351.681362147,52412.8281731067,26995.1479269791,32884.4382195897,1,57.1198983463495,4.25346229348077,2.00208910724881,1.03117296847009,1.25613476418391,289.15,349.15,393.15,459.15,529.15,565.15,989.640645530866,52713.2793411682,1961.24526804295,1188.22738735407,401.953505264043,438.105795765368,0,0,0,0,0,1594.70445332038,7319716.02702282,169665.220366468,111.927917235537,569.15,1699.61015520019,0,0,0,0,0,0,0.34
"9","Record_1...9","S1",1,1175.29811005318,2903996.67968856,129172.07162652,1,563.15,1194.93534176895,3,5.27275233054018e-17,6.973967304733e-18,2.05399355089868e-19,1,0.1323,0.0039,2283.05107033384,818.068862899447,12410.1992296279,45.6610214066768,16.3613772579889,248.203984592558,0,0,0,0,0,0,3,6.58409811770258e-17,1.12558184538351e-17,9.93081724797484e-20,1,0.171,0.0015,17535.1640847678,3919.71532193947,136693.906375796,350.703281695356,78.3943064387894,2733.87812751592,2,59.9200463650697,161.177497445322,1919.44331262327,27532.3641126813,1,14.3439318742126,518.15,585.15,160.82635311651,183.854223958199,5,1149.51735290732,60970.6967800922,1637.1377573009,1030.53009061591,258.546443426174,0,28162.9753818753,1738681.32598267,97090.7879673053,47940.1766384145,47191.0325600149,0,1,61.736421752569,3.44746201886714,1.7022411868196,1.67564086962152,0,289.15,347.15,391.15,454.15,515.15,0,1227.01970574424,61139.7326435584,1669.17438364627,1139.92949925917,265.536489640443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34
"10","Record_1...10","S1",1,1396.09411642343,5095745.0678898,138781.513337048,1,568.15,1470.40647337257,3,6.3828543734183e-17,1.01843748134853e-17,2.54812310752752e-19,1,0.1596,0.004,6129.17931643462,1557.92269771444,14041.7126986213,122.583586328692,31.1584539542888,280.834253972425,0,0,0,0,0,0,3,7.40697177079661e-17,2.6932651252645e-17,1.72014118557184e-19,1,0.3636,0.0023,30029.1256408501,6752.95478147148,72766.3868579275,600.582512817002,135.05909562943,1455.32773715855,2,68.2082700313605,171.395003424001,2074.95913766874,28500.8942835355,1,13.7356412307747,523.15,589.15,184.310639704223,200.1664844538,5,84339.2275028894,1733.11681052719,790.475448393066,188.081895517007,314.834034677484,0,2425801.73314122,95723.725794267,38377.7597314305,9605.00634719364,33139.4974013602,0,1,0.0394606552079227,0.0158206498112005,0.00395951829696977,0.0136612555546521,0,348.15,392.15,458.15,520.15,557.15,0,84336.3310919484,1765.70495651781,825.590102385019,345.546440095703,356.831746523862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34
"11","Record_1...11","S2",1,930.888131044959,9118728.67251413,66631.9596132462,1,564.15,985.516249335374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.21697177791172e-17,5.08964878669955e-20,0,1,0.001,0,903.713351800076,570463.87709099,0,18.0742670360015,11409.2775418198,0,2,426.160331843421,34.5318459876552,19810.0480838089,8478.7250839312,1,0.428001236951111,520.15,570.15,504.964543835336,354.094219226655,5,3254.00214807306,207119.209978747,1321.56269738807,133.876938378964,520.727881710546,0,71765.1025809659,5837196.00873157,87338.3661101026,29047.8623892862,24889.0134993182,0,1,81.3375275559037,1.21700329225569,0.404763058152314,0.346812205434226,0,289.15,348.15,386.15,521.15,568.15,0,3523.68203607713,205426.455587594,1257.47025171867,693.487140412228,378.818202441277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66
"12","Record_1...12","S2",1,974.028968044913,32863885.7925161,75888.9842089024,1,560.15,965.993377643502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.3160118823124e-17,5.04359036884189e-20,0,1,0.0012,0,1020.72149128129,700189.121202623,0,20.4144298256257,14003.7824240525,0,2,257.672980912393,331.546894684318,9567.92638033306,37731.722365832,1,3.94356319916819,523.15,568.15,504.339959771466,335.569568762308,5,3792.19346881754,234277.27332813,1814.29904050515,247.247502350474,564.797371440812,0,78420.7860368653,6586305.78900738,120019.393068866,10351.3464384877,65783.0793499094,0,1,83.9867351739013,1.53045383927222,0.131997483851049,0.838847487692677,0,289.15,347.15,387.15,453.15,519.15,0,4002.99751765749,232932.901916329,1613.22947019512,351.120095787735,717.685495806012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66
